id,tweet,label
637894677824413696,diagnose anxiety depression moment reflect far ive,1
637890384576778240,sunday need break planning spend little possible a14,1
637749345908051968,awake tire need sleep brain idea,1
637696421077123073,retro bear perfect gift great beginner stitch october sew sale yay,1
637696327485366272,hard whether pack list life easier reinforce need movinghouse anxiety,1
637692793083817985,pack list hobby movinghouse,1
637691649943072772,point doe stuff nostalgic reason cross line plain hoarding movinghouse,1
637689418472652800,currently findingboxesofrandomshit pack phase think closet hoarder,1
637687177946734592,bother cook away 😁👍🏼 lazy,1
637684866906255360,itv release promo video final series downton abbey,1
637684675557896193,stuff movinghouse,1
637684322078707712,never want put together lotharderthanitlooks,1
637555158440902656,stuff bloomin knackering load,1
637550791847510017,house stuff peaceful,1
637314209559281664,urgh anxiety ffs doe breathe,1
637310611244892160,stuff massive purge,1
637224036918013953,hideous traffic a14 must remember pay closer attention traffic report,1
637208158553931776,packing purge feel good 😊👍🏼,1
637181954975252480,bampq internal door fun,1
637145132949766144,many busy ahead,1
637133358812778496,620 lie little longer cat buddy,1
637132570354950145,nothing cocktail exhaustion aid good night sleep,1
636996790693269505,great night favourite lady need past love,1
636603948711956480,sat sofa quick rest hour ago need,1
636562582321635329,want pizza,1
636443677511057408,always love peter gabriel eye,1
636441987101655040,busy ahead need focus feeling edge derailment,1
636439953547882496,smallest heart break feel away,1
636429433415581696,choose curtain pole suddenly confuse many choice isnt problem,1
636242913916264448,complete house key fab whoop 🏡🎉💕,1
636090260187910144,retweet stayer sammy suki photograph todaybuckscatsorguk,1
636050135546494976,big 🏡😁🎉,1
635927041955766273,lovely pandastory,1
635883090565533696,weather outside frightfulbut delightful sneak peak october issue project,1
635879517026938881,good news least,1
635879398315556864,headache nap three hour wake bit confuse,1
635829485284261888,budget recipe £150 less head compromise flavour htt…,1
635827655456198656,80yr dog owner distraught lose dog,1
635823998379655168,fly display vintage jet significantly restrict notice caa limit fly past,1
635718588171702272,happy monday crafter need bit pickmeup start,1
635717273462902784,sleep catsoftwitter,1
635711239046475776,truly awful,1
635710739081261056,understand doe achieve😕palmyras baalshamin temple blow,1
635698503784730624,cigarette green tea leaf claim help quit smoke,1
635569269787500544,whole bliss,1
